// 20k words/01
的	de5
种	zhong3
说明	shuo1ming2
使用	shi3yong4
初	chu1
回答	hui2da2
马	ma3
共同	gong4tong2
卖	mai4
规定	gui1ding4
管理	guan3li3
越来越	yue4lai2yue4
如今	ru2jin1
社会主义	she4hui4 zhu3yi4
年代	nian2dai4
变成	bian4cheng2
中心	zhong1xin1
北	bei3
东	dong1
父亲	fu4qin5
国际	guo2ji4
高兴	gao1xing4
理解	li3jie3
保持	bao3chi2
了	le5
当	dang1
选择	xuan3ze2
某	mou3
心理	xin1li3
尽管	jin3guan3
气	qi4
且	qie3
斗争	dou4zheng1
反对	fan3dui4
创作	chuang4zuo4
虽	sui1
造成	zao4cheng2
是否	shi4fou3
下去	xia4qu5
总是	zong3shi4
派	pai4
获得	huo4de2
联系	lian2xi4
之一	zhi1yi1
也是	ye3shi4
城	cheng2
所谓	suo3wei4
安排	an1pai2
目的	mu4di4
伟大	wei3da4
工人	gong1ren2
制度	zhi4du4
精神	jing1shen2
小时	xiao3shi2
似乎	si4hu1
篇	pian1
制	zhi4
没	mei2
下午	xia4wu3
算	suan4
乱	luan4
谁	shei2
黑	hei1
尤其	you2qi2
老人	lao3ren2
部门	bu4men2
儿	er2
水平	shui3ping2
按照	an4zhao4
机关	ji1guan1
心里	xin1li5
民	min2
离开	li2kai1
身体	shen1ti3
层	ceng2
笑	xiao4
吗	ma5
面前	mian4qian2
基础	ji1chu3
树	shu4
别人	bie2ren5
海	hai3
常	chang2
以前	yi3qian2
军	jun1
读	du2
性	xing4
价值	jia4zhi2
套	tao4
干	gan4
结束	jie2shu4
妇女	fu4nü3
教授	jiao4shou4
军事	jun1shi4
基本	ji1ben3
儿子	er2zi5
西	xi1
除	chu2
区	qu1
改	gai3
并且	bing4qie3
那里	na4li5
均	jun1
画	hua4
建	jian4
满	man3
统一	tong3yi1
重新	chong2xin1
方向	fang1xiang4
活	huo2
子	zi3
往往	wang3wang3
考虑	kao3lü4
重大	zhong4da4
收	shou1
旧	jiu4
之中	zhi1 zhong1
人才	ren2cai2
总统	zong3tong3
感觉	gan3jue2
清	qing1
具体	ju4ti3
式	shi4
文章	wen2zhang1
现象	xian4xiang4
立即	li4ji2
材料	cai2liao4
不得	bu4de2
定	ding4
证明	zheng4ming2
热	re4
年轻	nian2qing1
年青	nian2qing1
接	jie1
事实	shi4shi2
白	bai2
分别	fen1bie2
矛盾	mao2dun4
不再	bu4zai4
积极	ji1ji2
语言	yu3yan2
千	qian1
巨大	ju4da4
节	jie2
安全	an1quan2
提供	ti2gong1
讨论	tao3lun4
取得	qu3de2
始终	shi3zhong1
程度	cheng2du4
留	liu2
分析	fen1xi1
消息	xiao1xi5
检查	jian3cha2
宣传	xuan1chuan2
世界	shi4jie4
相当	xiang1dang1
好	hao3
英国	Ying1guo2
合作	he2zuo4
发出	fa1chu1
电影	dian4ying3
另外	ling4wai4
身上	shen1shang5
线	xian4
肯定	ken3ding4
举行	ju3xing2
目标	mu4biao1
反映	fan3ying4
量	liang2
笔	bi3
医生	yi1sheng1
成立	cheng2li4
交	jiao1
充分	chong1fen4
林	lin2
突然	tu1ran2
工程	gong1cheng2
户	hu4
一边	yi1bian1
永远	yong3yuan3
标准	biao1zhun3
原则	yuan2ze2
同样	tong2yang4
控制	kong4zhi4
队伍	dui4wu5
结构	jie2gou4
晚上	wan3shang5
指出	zhi3chu1
调查	diao4cha2
立	li4
农业	nong2ye4
难	nan2
清楚	qing1chu5
采取	cai3qu3
群	qun2
集中	ji2zhong1
进一步	jin4yi2bu4
明显	ming2xian3
粮食	liang2shi5
省	sheng3
结合	jie2he2
保证	bao3zheng4
团	tuan2
过	guo4
喜欢	xi3huan5
动	dong4
最近	zui4jin4
穿	chuan1
文	wen2
收入	shou1ru4
求	qiu2
实行	shi2xing2
提	ti2
及	ji2
面对	mian4dui4
愿意	yuan4yi4
厂	chang3
系统	xi4tong3
形象	xing2xiang4
竟	jing4
晚	wan3
短	duan3
国内	guo2nei4
离	li2
人生	ren2sheng1
权	quan2
辆	liang4
股	gu3
充满	chong1man3
论	lun4
负责	fu4ze2
感情	gan3qing2
利益	li4yi4
等等	deng3deng5
和平	he2ping2
声音	sheng1yin1
观念	guan1nian4
经常	jing1chang2
敢	gan3
关心	guan1xin1
解释	jie3shi4
道德	dao4de2
愿	yuan4
还有	hai2 you3
情	qing2
同学	tong2xue2
进步	jin4bu4
力	li4
她们	ta1men5
单	dan1
经营	jing1ying2
作家	zuo4jia1
根	gen1
占	zhan4
教师	jiao4shi1
记	ji4
回来	hui2lai2
场	chang3
出版	chu1ban3
组	zu3
退	tui4
也许	ye3xu3
重	zhong4
加强	jia1qiang2
办公室	ban4gong1shi4
健康	jian4kang1
换	huan4
道路	dao4lu4
完	wan2
迅速	xun4su4
属	shu3
正确	zheng4que4
产品	chan3pin3
信息	xin4xi1
深入	shen1ru4
胜利	sheng4li4
拉	la1
发挥	fa1hui1
读者	du2zhe3
眼睛	yan3jing5
船	chuan2
简单	jian3dan1
神	shen2
飞	fei1
台湾	Tai2wan1
留下	liu2xia4
怕	pa4
只	zhi3
忙	mang2
女子	nü3zi3
排	pai2
偏	pian1
曾经	ceng2jing1
项目	xiang4mu4
专家	zhuan1jia1
重视	zhong4shi4
来自	lai2zi4
设计	she4ji4
黄	huang2
丰富	feng1fu4
理想	li3xiang3
流	liu2
公	gong1
双方	shuang1fang1
言	yan2
刘	Liu2
欢迎	huan1ying2
恢复	hui1fu4
院	yuan4
唱	chang4
不足	bu4zu2
属于	shu3yu2
工业	gong1ye4
音乐	yin1yue4
主	zhu3
满足	man3zu2
掉	diao4
包	bao1
战	zhan4
质量	zhi4liang4
自然	zi4ran2
抓住	zhua1zhu4
帮	bang1
日子	ri4zi5
期间	qi1jian1
投资	tou2zi1
法国	fa3guo2
过去	guo4qu5
紧张	jin3zhang1
眼	yan3
夜	ye4
平	ping2
比赛	bi3sai4
阶段	jie1duan4
开发	kai1fa1
范围	fan4wei2
关	guan1
分钟	fen1zhong1
不知	bu4zhi1
大会	da4hui4
总理	zong3li3
江	jiang1
楼	lou2
全面	quan2mian4
未来	wei4lai2
京	jing1
河	he2
人口	ren2kou3
扩大	kuo4da4
即使	ji2shi3
军队	jun1dui4
难以	nan2yi3
外国	wai4guo2
先进	xian1jin4
银行	yin2hang2
事件	shi4jian4
热情	re4qing2
常常	chang2chang2
强烈	qiang2lie4
必要	bi4yao4
文明	wen2ming2
手段	shou3duan4
级	ji2
亩	mu3
建议	jian4yi4
镇	zhen4
女儿	nü3'er2
特殊	te4shu1
装	zhuang1
陈	chen2
复杂	fu4za2
战士	zhan4shi4
作为	zuo4wei2
形势	xing2shi4
无论	wu2lun4
机构	ji1gou4
执行	zhi2xing2
讲话	jiang3hua4
以为	yi3wei2
若	ruo4
乡	xiang1
同意	tong2yi4
分子	fen4zi3
望	wang4
摆	bai3
实践	shi2jian4
科技	ke1ji4
建筑	jian4zhu4
尚	shang4
语	yu3
之前	zhi1 qian2
广大	guang3da4
届	jie4
那个	na4ge5
班	ban1
长期	chang2qi1
观	guan1
专门	zhuan1men2
取	qu3
大量	da4liang4
改造	gai3zao4
土	tu3
民主	min2zhu3
成绩	cheng2ji4
随	sui2
父母	fu4mu3
倍	bei4
史	shi3
培养	pei2yang3
哪里	na3li5
杯	bei1
强调	qiang2diao4
相互	xiang1hu4
毛	mao2
保	bao3
超过	chao1guo4
正式	zheng4shi4
著名	zhu4ming2
诗	shi1
章	zhang1
批评	pi1ping2
稳定	wen3ding4
明白	ming2bai5
停	ting2
出口	chu1kou3
重点	zhong4dian3
朝	chao2
资金	zi1jin1
指导	zhi3dao3
英	ying1
状态	zhuang4tai4
祖国	zu3guo2
不但	bu2dan4
// 20k words/02
借	jie4
报道	bao4dao4
药	yao4
开展	kai1zhan3
投入	tou2ru4
身	shen1
高度	gao1du4
直	zhi2
独立	du2li4
电视	dian4shi4
妈妈	ma1ma5
职工	zhi2gong1
男	nan2
增长	zeng1zhang3
各地	ge4di4
费	fei4
有时	you3shi2
深刻	shen1ke4
以下	yi3xia4
刚刚	gang1gang1
主张	zhu3zhang1
教	jiao4
明确	ming2que4
习惯	xi2guan4
调整	tiao2zheng3
交通	jiao1tong1
因素	yin1su4
养	yang3
行政	xing2zheng4
挂	gua4
追求	zhui1qiu2
物	wu4
关键	guan1jian4
措施	cuo4shi1
坚决	jian1jue2
承认	cheng2ren4
实	shi2
集	ji2
效果	xiao4guo3
德国	De2guo2
草	cao3
宣布	xuan1bu4
上午	shang4wu3
知	zhi1
共产党	gong4chan3dang3
失去	shi1qu4
资源	zi1yuan2
减少	jian3shao3
断	duan4
领域	ling3yu4
封	feng1
先后	xian1hou4
今后	jin1hou4
促进	cu4jin4
经历	jing1li4
有效	you3xiao4
特点	te4dian3
位置	wei4zhi5
现代化	xian4dai4hua4
就要	jiu4yao4
价格	jia4ge2
部长	bu4zhang3
过来	guo4lai5
观众	guan1zhong4
值得	zhi2de5
轮	lun2
正常	zheng4chang2
脚	jiao3
地方	di4fang5
破坏	po4huai4
看来	kan4lai2
适应	shi4ying4
战略	zhan4lüe4
天气	tian1qi4
急	ji2
度	du4
贡献	gong4xian4
突出	tu1//chu1
欧洲	Ou1zhou1
掌握	zhang3wo4
错误	cuo4wu4
何	he2
病人	bing4ren2
对象	dui4xiang4
确定	que4ding4
实施	shi2shi1
此外	ci3wai4
委员会	wei3yuan2hui4
满意	man3yi4
师	shi1
英雄	ying1xiong2
明	ming2
驻	zhu4
冲	chong1
在于	zai4yu2
合理	he2li3
普通	pu3tong1
竞争	jing4zheng1
当地	dang1di4
宗教	zong1jiao4
联合	lian2he2
业务	ye4wu4
物质	wu4zhi4
表明	biao3ming2
训练	xun4lian4
一致	yi2zhi4
组成	zu3cheng2
专业	zhuan1ye4
官	guan1
案	an4
网络	wang3luo4
治	zhi4
权利	quan2li4
前进	qian2jin4
成果	cheng2guo3
版	ban3
网	wang3
机	ji1
显得	xian3de5
脸	lian3
自身	zi4shen1
指挥	zhi3hui1
演出	yan3chu1
交流	jiao1liu2
天津	Tian1jin1
推	tui1
设备	she4bei4
哲学	zhe2xue2
牛	niu2
学者	xue2zhe3
卫生	wei4sheng1
缺乏	que1fa2
真实	zhen1shi2
体现	ti3xian4
酒	jiu3
飞机	fei1ji1
文字	wen2zi4
歌	ge1
严格	yan2ge2
火	huo3
依然	yi1ran2
称为	cheng1wei2
工	gong1
资料	zi1liao4
型	xing2
菜	cai4
哪	na3
速度	su4du4
工资	gong1zi1
至少	zhi4shao3
儿童	er2tong2
纷纷	fen1fen1
产业	chan3ye4
明天	ming2tian1
开放	kai1fang4
集体	ji2ti3
体系	ti3xi4
德	de2
鱼	yu2
召开	zhao4kai1
设	she4
轻	qing1
监督	jian1du2
体	ti3
戏	xi4
拍	pai1
绿	lü4
出发	chu1fa1
房	fang2
实际上	shi2ji4shang5
小说	xiao3shuo1
破	po4
兵	bing1
现	xian4
啊	a1
优秀	you1xiu4
必然	bi4ran2
业	ye4
主动	zhu3dong4
附近	fu4jin4
动物	dong4wu4
解放	jie3fang4
兼	jian1
有所	you3suo3
看见	kan4jian4
通知	tong1zhi1
广告	guang3gao4
体制	ti3zhi4
当前	dang1qian2
从事	cong2shi4
至今	zhi4jin1
加入	jia1ru4
当年	dang1nian2
财政	cai2zheng4
颗	ke1
为	wei2
跳	tiao4
弄	nong4
广泛	guang3fan4
及时	ji2shi2
良好	liang2hao3
各国	ge4guo2
专	zhuan1
普遍	pu3bian4
损失	sun3shi1
团结	tuan2jie2
梦	meng4
姑娘	gu1niang5
需	xu1
死亡	si3wang2
毕业	bi4ye4
倒	dao3
室	shi4
比如	bi3ru2
名字	ming2zi5
职业	zhi2ye4
角	jiao3
杀	sha1
从而	cong2’er2
应	ying1
刺	ci4
般	ban1
油	you2
制定	zhi4ding4
华	hua2
校	xiao4
互相	hu4xiang1
上来	shang4lai5
加上	jia1shang4
苦	ku3
男子	nan2zi3
面积	mian4ji1
直到	zhi2dao4
出去	chu1qu4
符合	fu2he2
本来	ben3lai2
架	jia4
身边	shen1bian1
幸福	xing4fu2
确实	que4shi2
状况	zhuang4kuang4
空间	kong1jian1
都	dou1
逐渐	zhu2jian4
推动	tui1dong4
犯罪	fan4zui4
美元	Mei3yuan2
打击	da3ji2
危险	wei1xian3
说话	shuo1hua4
表演	biao3yan3
报纸	bao4zhi3
公开	gong1kai1
显示	xian3shi4
州	zhou1
采用	cai3yong4
最终	zui4zhong1
运用	yun4yong4
久	jiu3
委员	wei3yuan2
亦	yi4
商品	shang1pin3
规律	gui1lü4
观察	guan1cha2
鼓励	gu3li4
局	ju2
优势	you1shi4
体育	ti3yu4
大力	da4li4
自我	zi4wo3
不管	bu4guan3
马上	ma3shang4
走向	zou3xiang4
西方	xi1fang1
合同	he2tong5
空气	kong1qi4
为	wei4
各个	ge4ge4
周围	zhou1wei2
商业	shang1ye4
负	fu4
古	gu3
打开	da3kai1
太阳	tai4yang5
选	xuan3
特色	te4se4
内部	nei4bu4
接着	jie1zhe5
夫人	fu1ren5
石	shi2
给予	ji3yu3
亲	qin1
居民	ju1min2
亮	liang4
不久	bu4jiu3
故事	gu4shi5
顶	ding3
差	cha1
维护	wei2hu4
似	si4
本身	ben3shen1
规模	gui1mo2
权力	quan2li4
领	ling3
文件	wen2jian4
吨	dun1
创	chuang4
阳光	yang2guang1
分配	fen1pei4
雨	yu3
加快	jia1kuai4
整个	zheng3ge4
田	tian2
社	she4
综合	zong1he2
南京	Nan2jing1
硬	ying4
印	yin4
国务院	guo2wu4yuan4
铁路	tie3lu4
拥有	yong1you3
标题	biao1ti2
到底	dao4di3
平均	ping2jun1
实在	shi2zai4
附	fu4
公路	gong1lu4
泥	ni2
居	ju1
致	zhi4
供	gong1
中间	zhong1jian1
运	yun4
必	bi4
制造	zhi4zao4
方便	fang1bian4
例	li4
应用	ying4yong4
曾	ceng2
热烈	re4lie4
落实	luo4shi2
保障	bao3zhang4
彻底	che4di3
素质	su4zhi4
成员	cheng2yuan2
创新	chuang4xin1
得了	de2le5
贯彻	guan4che4
任	ren4
局面	ju2mian4
观点	guan1dian3
象	xiang4
美丽	mei3li4
电子	dian4zi3
方案	fang1’an4
功能	gong1neng2
懂	dong3
成就	cheng2jiu4
忘	wang4
服	fu2
增强	zeng1qiang2
降	jiang4
胜	sheng4
机制	ji1zhi4
对方	dui4fang1
公里	gong1li3
长	chang2
呀	ya5
上面	shang4mian5
全体	quan2ti3
再次	zai4ci4
反应	fan3ying4
因而	yin1'er2
铁	tie3
推进	tui1jin4
民间	min2jian1
客人	ke4ren5
坏	huai4
阿	a1
享受	xiang3shou4
地	de5
印度	yin4du4
消费	xiao1fei4
广州	Guang3zhou1
意	yi4
准	zhun3
归	gui1
照	zhao4
那时	na4shi2
幅	fu2
吸引	xi1yin3
完善	wan2shan4
行业	hang2ye4
改善	gai3shan4
某些	mou3xie1
引	yin3
情绪	qing2xu4
党员	dang3yuan2
尊重	zun1zhong4
盖	gai4
感受	gan3shou4
墙	qiang2
喷	pen1
为主	wei2zhu3
响	xiang3
获	huo4
洗	xi3
校长	xiao4zhang3
巴	ba1
亲自	qin1zi4
功	gong1
只好	zhi3hao3
啦	la5
紧	jin3
自觉	zi4jue2
争	zheng1
构成	gou4cheng2
规划	gui1hua4
处于	chu3yu2
杨	yang2
战斗	zhan4dou4
通	tong1
世	shi4
敌人	di2ren2
眼前	yan3qian2
典型	dian3xing2
店	dian4
广	guang3
逐步	zhu2bu4
把握	ba3wo4
词	ci2
一部分	yi1 bu4fen5
错	cuo4
探索	tan4suo3
玩	wan2
一日	yi1 ri4
生存	sheng1cun2
感	gan3
房子	fang2zi5
切	qie4
访问	fang3wen4
展开	zhan3kai1
之外	zhi1 wai4
加以	jia1yi3
关注	guan1zhu4
读书	du2shu1
方针	fang1zhen1
早已	zao3yi3
有着	you3zhe5
一半	yi2ban4
西部	xi1bu4
规范	gui1fan4
绿色	lü4se4
一面	yi1mian4
落	luo4
相对	xiang1dui4
舞台	wu3tai2
理由	li3you2
将	jiang1
案件	an4jian4
冲突	chong1tu1
主义	zhu3yi4
命运	ming4yun4
集团	ji2tuan2
举	ju3
有力	you3li4
须	xu1
里面	li3mian4
压力	ya1li4
圈	quan1
生态	sheng1tai4
中学	zhong1xue2
广东	guang3dong1
烟	yan1
翻	fan1
罪	zui4
足	zu2
仿佛	fang3fu2
听说	ting1shuo1
纸	zhi3
采访	cai2fang3
处	chu4
依法	yi1fa3
年龄	nian2ling2
相关	xiang1guan1
国外	guo2wai4
小学	xiao3xue2
谈话	tan2hua4
抱	bao4
饭	fan4
投	tou2
停止	ting2zhi3
绝对	jue2dui4
加工	jia1gong1
协调	xie2tiao2
转变	zhuan3bian4
评价	ping2jia4
电脑	dian4nao3
右	you4
腿	tui3
目光	mu4guang1
修	xiu1
颇	po1
小组	xiao3zu3
治疗	zhi4liao2
大约	da4yue1
持续	chi2xu4
显然	xian3ran2
吹	chui1
昨天	zuo2tian1
心情	xin1qing2
页	ye4
答	da2
面临	mian4lin2
总结	zong3jie2
百姓	bai3xing4
秩序	zhi4xu4
肉	rou4
春	chun1
密切	mi4qie4
科	ke1
今日	jin1ri4
道理	dao4li5
各自	ge4zi4
左	zuo3
统计	tong3ji4
连续	lian2xu4
赴	fu4
系	xi4
基地	ji1di4
长	zhang3
细	xi4
马克思主义	Ma3ke4si1zhu3yi4
寻找	xun2zhao3
批准	pi1zhun3
武器	wu3qi4
客观	ke4guan1
含	han2
考察	kao3cha2
限制	xian4zhi4
照片	zhao4pian4
学术	xue2shu4
款	kuan3
山东	Shan1dong1
整体	zheng3ti3
大学生	da4xue2sheng1
需求	xu1qiu2
大陆	da4lu4
大事	da4shi4
国民经济	guo2min2 jing1ji4
睡	shui4
衣服	yi1fu5
尚未	shang4wei4
贸易	mao4yi4
旅游	lü3you2
值	zhi2
车	che1
街	jie1
演员	yan3yuan2
商	shang1
拒绝	ju4jue2
设施	she4shi1
压	ya1
下降	xia4jiang4
担心	dan1xin1
究竟	jiu1jing4
程序	cheng2xu4
数量	shu4liang4
赵	Zhao4
东西	dong1xi5
故	gu4
爸爸	ba4ba5
高级	gao1ji2
堆	dui1
血	xue4
顺利	shun4li4
放心	fang4xin1
乘	cheng2
令	ling4
多种	duo1zhong3
模式	mo2shi4
应	ying4
势力	shi4li5
生物	sheng1wu4
闹	nao4
性质	xing4zhi4
球	qiu2
好像	hao3xiang4
